合约编码	合约交易代码	合约简称	标的券名称及代码	类型	行权价	合约单位	期权行权日	行权交收日	到期日	新挂	涨停价格	跌停价格	前结算价	调整	停牌
10000201	510050C1512M02950	50ETF购12月2950	50ETF(510050)	认购	2.950	10000	20151223	20151224	20151223	否	0.2178	0.0001	0.0188	否	否
10000183	510050C1512M03000	50ETF购12月3000	50ETF(510050)	认购	3.000	10000	20151223	20151224	20151223	否	0.2099	0.0001	0.0159	否	否
10000184	510050C1512M03100	50ETF购12月3100	50ETF(510050)	认购	3.100	10000	20151223	20151224	20151223	否	0.1961	0.0001	0.0121	否	否
10000185	510050C1512M03200	50ETF购12月3200	50ETF(510050)	认购	3.200	10000	20151223	20151224	20151223	否	0.1835	0.0001	0.0095	否	否
10000186	510050C1512M03300	50ETF购12月3300	50ETF(510050)	认购	3.300	10000	20151223	20151224	20151223	否	0.1712	0.0001	0.0072	否	否
10000187	510050C1512M03400	50ETF购12月3400	50ETF(510050)	认购	3.400	10000	20151223	20151224	20151223	否	0.1597	0.0001	0.0057	否	否
10000199	510050C1512M03500	50ETF购12月3500	50ETF(510050)	认购	3.500	10000	20151223	20151224	20151223	否	0.1488	0.0001	0.0048	否	否
10000227	510050C1512M03600	50ETF购12月3600	50ETF(510050)	认购	3.600	10000	20151223	20151224	20151223	否	0.1377	0.0001	0.0037	否	否
10000399	510050C1603M01800	50ETF购3月1800	50ETF(510050)	认购	1.800	10000	20160323	20160324	20160323	否	0.9322	0.4382	0.6852	否	否
10000400	510050C1603M01850	50ETF购3月1850	50ETF(510050)	认购	1.850	10000	20160323	20160324	20160323	否	0.8841	0.3901	0.6371	否	否
10000401	510050C1603M01900	50ETF购3月1900	50ETF(510050)	认购	1.900	10000	20160323	20160324	20160323	否	0.8492	0.3552	0.6022	否	否
10000373	510050C1603M01950	50ETF购3月1950	50ETF(510050)	认购	1.950	10000	20160323	20160324	20160323	否	0.7984	0.3044	0.5514	否	否
10000374	510050C1603M02000	50ETF购3月2000	50ETF(510050)	认购	2.000	10000	20160323	20160324	20160323	否	0.7620	0.2680	0.5150	否	否
10000375	510050C1603M02050	50ETF购3月2050	50ETF(510050)	认购	2.050	10000	20160323	20160324	20160323	否	0.7221	0.2281	0.4751	否	否
10000376	510050C1603M02100	50ETF购3月2100	50ETF(510050)	认购	2.100	10000	20160323	20160324	20160323	否	0.6838	0.1898	0.4368	否	否
10000345	510050C1603M02150	50ETF购3月2150	50ETF(510050)	认购	2.150	10000	20160323	20160324	20160323	否	0.6468	0.1528	0.3998	否	否
10000346	510050C1603M02200	50ETF购3月2200	50ETF(510050)	认购	2.200	10000	20160323	20160324	20160323	否	0.6112	0.1172	0.3642	否	否
10000333	510050C1603M02250	50ETF购3月2250	50ETF(510050)	认购	2.250	10000	20160323	20160324	20160323	否	0.5770	0.0830	0.3300	否	否
10000327	510050C1603M02300	50ETF购3月2300	50ETF(510050)	认购	2.300	10000	20160323	20160324	20160323	否	0.5535	0.0595	0.3065	否	否
10000321	510050C1603M02350	50ETF购3月2350	50ETF(510050)	认购	2.350	10000	20160323	20160324	20160323	否	0.5175	0.0235	0.2705	否	否
10000307	510050C1603M02400	50ETF购3月2400	50ETF(510050)	认购	2.400	10000	20160323	20160324	20160323	否	0.4900	0.0001	0.2430	否	否
10000308	510050C1603M02450	50ETF购3月2450	50ETF(510050)	认购	2.450	10000	20160323	20160324	20160323	否	0.4670	0.0001	0.2200	否	否
10000309	510050C1603M02500	50ETF购3月2500	50ETF(510050)	认购	2.500	10000	20160323	20160324	20160323	否	0.4444	0.0001	0.2004	否	否
10000310	510050C1603M02550	50ETF购3月2550	50ETF(510050)	认购	2.550	10000	20160323	20160324	20160323	否	0.4165	0.0001	0.1775	否	否
10000311	510050C1603M02600	50ETF购3月2600	50ETF(510050)	认购	2.600	10000	20160323	20160324	20160323	否	0.3954	0.0001	0.1614	否	否
10000287	510050C1603M02650	50ETF购3月2650	50ETF(510050)	认购	2.650	10000	20160323	20160324	20160323	否	0.3733	0.0001	0.1443	否	否
10000288	510050C1603M02700	50ETF购3月2700	50ETF(510050)	认购	2.700	10000	20160323	20160324	20160323	否	0.3552	0.0001	0.1312	否	否
10000289	510050C1603M02750	50ETF购3月2750	50ETF(510050)	认购	2.750	10000	20160323	20160324	20160323	否	0.3373	0.0001	0.1183	否	否
10000290	510050C1603M02800	50ETF购3月2800	50ETF(510050)	认购	2.800	10000	20160323	20160324	20160323	否	0.3190	0.0001	0.1050	否	否
10000291	510050C1603M02850	50ETF购3月2850	50ETF(510050)	认购	2.850	10000	20160323	20160324	20160323	否	0.3006	0.0001	0.0916	否	否
10000297	510050C1603M02900	50ETF购3月2900	50ETF(510050)	认购	2.900	10000	20160323	20160324	20160323	否	0.2887	0.0001	0.0847	否	否
10000459	510050C1606M02150	50ETF购6月2150	50ETF(510050)	认购	2.150	10000	20160622	20160623	20160622	否	0.7036	0.2096	0.4566	否	否
10000449	510050C1606M02200	50ETF购6月2200	50ETF(510050)	认购	2.200	10000	20160622	20160623	20160622	否	0.6675	0.1735	0.4205	否	否
